query,category,method,mean_score
Causes of inflation in developing economies,broad_exploratory,faiss,0.8
Causes of inflation in developing economies,broad_exploratory,bm25,1.0
Causes of inflation in developing economies,broad_exploratory,rrf,1.4
Causes of inflation in developing economies,broad_exploratory,reranked,1.4
Effects of automation on labor market outcomes,broad_exploratory,faiss,1.8
Effects of automation on labor market outcomes,broad_exploratory,bm25,3.0
Effects of automation on labor market outcomes,broad_exploratory,rrf,2.4
Effects of automation on labor market outcomes,broad_exploratory,reranked,2.6
Determinants of economic growth in low-income countries,broad_exploratory,faiss,1.4
Determinants of economic growth in low-income countries,broad_exploratory,bm25,1.8
Determinants of economic growth in low-income countries,broad_exploratory,rrf,1.6
Determinants of economic growth in low-income countries,broad_exploratory,reranked,1.6
Impact of income inequality on economic mobility,broad_exploratory,faiss,1.2
Impact of income inequality on economic mobility,broad_exploratory,bm25,1.4
Impact of income inequality on economic mobility,broad_exploratory,rrf,1.2
Impact of income inequality on economic mobility,broad_exploratory,reranked,1.2
Trade liberalization and firm productivity,broad_exploratory,faiss,2.0
Trade liberalization and firm productivity,broad_exploratory,bm25,3.0
Trade liberalization and firm productivity,broad_exploratory,rrf,2.2
Trade liberalization and firm productivity,broad_exploratory,reranked,3.0
Economic effects of climate change adaptation policies,broad_exploratory,faiss,1.2
Economic effects of climate change adaptation policies,broad_exploratory,bm25,1.4
Economic effects of climate change adaptation policies,broad_exploratory,rrf,1.2
Economic effects of climate change adaptation policies,broad_exploratory,reranked,1.6
Financial crises and household consumption behavior,broad_exploratory,faiss,1.2
Financial crises and household consumption behavior,broad_exploratory,bm25,1.8
Financial crises and household consumption behavior,broad_exploratory,rrf,1.6
Financial crises and household consumption behavior,broad_exploratory,reranked,1.8
Role of education in long-run wage growth,broad_exploratory,faiss,1.0
Role of education in long-run wage growth,broad_exploratory,bm25,0.8
Role of education in long-run wage growth,broad_exploratory,rrf,1.0
Role of education in long-run wage growth,broad_exploratory,reranked,1.2
Difference-in-differences studies of minimum wage effects on teenage employment in the United States,narrow_technical,faiss,1.6
Difference-in-differences studies of minimum wage effects on teenage employment in the United States,narrow_technical,bm25,1.2
Difference-in-differences studies of minimum wage effects on teenage employment in the United States,narrow_technical,rrf,1.8
Difference-in-differences studies of minimum wage effects on teenage employment in the United States,narrow_technical,reranked,1.6
Instrumental variable estimates of returns to education in Latin America,narrow_technical,faiss,0.6
Instrumental variable estimates of returns to education in Latin America,narrow_technical,bm25,1.4
Instrumental variable estimates of returns to education in Latin America,narrow_technical,rrf,1.2
Instrumental variable estimates of returns to education in Latin America,narrow_technical,reranked,1.4
Regression discontinuity evidence on unemployment insurance duration and job search outcomes,narrow_technical,faiss,2.4
Regression discontinuity evidence on unemployment insurance duration and job search outcomes,narrow_technical,bm25,2.4
Regression discontinuity evidence on unemployment insurance duration and job search outcomes,narrow_technical,rrf,2.4
Regression discontinuity evidence on unemployment insurance duration and job search outcomes,narrow_technical,reranked,2.4
Panel data studies of exchange rate volatility and export performance in emerging markets,narrow_technical,faiss,1.2
Panel data studies of exchange rate volatility and export performance in emerging markets,narrow_technical,bm25,1.0
Panel data studies of exchange rate volatility and export performance in emerging markets,narrow_technical,rrf,1.2
Panel data studies of exchange rate volatility and export performance in emerging markets,narrow_technical,reranked,1.0
Randomized controlled trials of microcredit effects on household income in South Asia,narrow_technical,faiss,1.2
Randomized controlled trials of microcredit effects on household income in South Asia,narrow_technical,bm25,1.2
Randomized controlled trials of microcredit effects on household income in South Asia,narrow_technical,rrf,1.0
Randomized controlled trials of microcredit effects on household income in South Asia,narrow_technical,reranked,0.8
Structural estimation of household consumption under liquidity constraints,narrow_technical,faiss,1.0
Structural estimation of household consumption under liquidity constraints,narrow_technical,bm25,1.4
Structural estimation of household consumption under liquidity constraints,narrow_technical,rrf,1.6
Structural estimation of household consumption under liquidity constraints,narrow_technical,reranked,1.8
Synthetic control analyses of carbon tax implementation in European countries,narrow_technical,faiss,1.4
Synthetic control analyses of carbon tax implementation in European countries,narrow_technical,bm25,1.2
Synthetic control analyses of carbon tax implementation in European countries,narrow_technical,rrf,1.4
Synthetic control analyses of carbon tax implementation in European countries,narrow_technical,reranked,1.4
Event study evidence on monetary policy announcements and stock market volatility,narrow_technical,faiss,1.0
Event study evidence on monetary policy announcements and stock market volatility,narrow_technical,bm25,1.6
Event study evidence on monetary policy announcements and stock market volatility,narrow_technical,rrf,1.6
Event study evidence on monetary policy announcements and stock market volatility,narrow_technical,reranked,1.4
What does the economics literature say about whether immigration lowers native wages?,natural_language,faiss,0.8
What does the economics literature say about whether immigration lowers native wages?,natural_language,bm25,1.0
What does the economics literature say about whether immigration lowers native wages?,natural_language,rrf,1.2
What does the economics literature say about whether immigration lowers native wages?,natural_language,reranked,1.0
Do higher interest rates actually reduce inflation in practice?,natural_language,faiss,0.8
Do higher interest rates actually reduce inflation in practice?,natural_language,bm25,1.0
Do higher interest rates actually reduce inflation in practice?,natural_language,rrf,1.2
Do higher interest rates actually reduce inflation in practice?,natural_language,reranked,1.0
What have economists found about universal basic income and labor supply?,natural_language,faiss,1.0
What have economists found about universal basic income and labor supply?,natural_language,bm25,0.6
What have economists found about universal basic income and labor supply?,natural_language,rrf,1.2
What have economists found about universal basic income and labor supply?,natural_language,reranked,1.0
"Does free trade help workers, or mostly firms?",natural_language,faiss,1.6
"Does free trade help workers, or mostly firms?",natural_language,bm25,1.4
"Does free trade help workers, or mostly firms?",natural_language,rrf,1.4
"Does free trade help workers, or mostly firms?",natural_language,reranked,1.4
Do rent control policies actually make housing more affordable over time?,natural_language,faiss,1.6
Do rent control policies actually make housing more affordable over time?,natural_language,bm25,1.8
Do rent control policies actually make housing more affordable over time?,natural_language,rrf,1.6
Do rent control policies actually make housing more affordable over time?,natural_language,reranked,1.8
What does research say about whether student debt affects home ownership?,natural_language,faiss,0.8
What does research say about whether student debt affects home ownership?,natural_language,bm25,1.0
What does research say about whether student debt affects home ownership?,natural_language,rrf,1.2
What does research say about whether student debt affects home ownership?,natural_language,reranked,1.4
How much do recessions affect people early in their careers?,natural_language,faiss,1.8
How much do recessions affect people early in their careers?,natural_language,bm25,0.6
How much do recessions affect people early in their careers?,natural_language,rrf,1.2
How much do recessions affect people early in their careers?,natural_language,reranked,2.0
minimum wage employment youth diff-in-diff united states,keyword_researcher,faiss,0.2
minimum wage employment youth diff-in-diff united states,keyword_researcher,bm25,1.2
minimum wage employment youth diff-in-diff united states,keyword_researcher,rrf,1.2
minimum wage employment youth diff-in-diff united states,keyword_researcher,reranked,1.4
education returns instrumental variables developing countries,keyword_researcher,faiss,0.8
education returns instrumental variables developing countries,keyword_researcher,bm25,1.4
education returns instrumental variables developing countries,keyword_researcher,rrf,1.2
education returns instrumental variables developing countries,keyword_researcher,reranked,1.6
trade liberalization firm productivity panel tfp manufacturing,keyword_researcher,faiss,1.8
trade liberalization firm productivity panel tfp manufacturing,keyword_researcher,bm25,2.2
trade liberalization firm productivity panel tfp manufacturing,keyword_researcher,rrf,2.0
trade liberalization firm productivity panel tfp manufacturing,keyword_researcher,reranked,2.4
monetary policy event study stock volatility high frequency,keyword_researcher,faiss,1.2
monetary policy event study stock volatility high frequency,keyword_researcher,bm25,2.2
monetary policy event study stock volatility high frequency,keyword_researcher,rrf,1.6
monetary policy event study stock volatility high frequency,keyword_researcher,reranked,2.2
carbon tax synthetic control european union emissions,keyword_researcher,faiss,1.0
carbon tax synthetic control european union emissions,keyword_researcher,bm25,1.2
carbon tax synthetic control european union emissions,keyword_researcher,rrf,1.2
carbon tax synthetic control european union emissions,keyword_researcher,reranked,1.6
microfinance randomized trial household welfare south asia,keyword_researcher,faiss,1.6
